name,Initiator,Analyst,Sustainable Prosumers,Greedy Prosumers
analystpower:1:centralised:mc,1.8000000000002658,61.69999999999804,101.81263999999915,101.81263999999915
analystpower:1:collective:mc,-4.08999999999992,278.77999999999577,79.24086000000007,79.24086000000007
analystpower:1:fullmarket:mc,-0.19899999999999962,429.6659999999912,56.25998000000023,56.25998000000023
basepower:1:centralised,1.8000000000002743,61.699999999998056,101.83461999999922,101.83461999999922
basepower:1:collective,0.03000000000016203,57.84999999999943,97.42429999999948,97.42429999999948
basepower:1:fullmarket:mc,-0.6016000000000014,105.7799999999982,83.81074000000031,83.81074000000031
initpower:1:centralised:mc,704.7000000000016,-2.1999999999995916,38.215800000000144,38.215800000000144
initpower:1:collective:mc,0.1600000000001463,54.21499999999977,98.3453599999996,98.3453599999996
initpower:1:fullmarket:mc,-0.5100000000000002,104.56399999999788,84.86796000000032,84.86796000000032
prosumerpower:1:centralised:10:mc,1.3000000000001835,64.19999999999798,,97.87503999999923
prosumerpower:1:centralised:3:mc,-1.0999999999997987,62.69999999999802,100.80185714285635,100.93806666666588
prosumerpower:1:centralised:6:mc,0.40000000000022473,63.299999999997965,99.46509999999923,99.84966666666591
prosumerpower:1:collective:10:mc,5.855000000000365,-6.969999999999973,,11.5907
prosumerpower:1:collective:3:mc,-1.0449999999997963,43.070000000000995,94.24439999999957,94.04966666666627
prosumerpower:1:collective:6:mc,1.2400000000001508,11.53000000000003,76.54564999999985,79.24429999999985
prosumerpower:1:fullmarket:10:mc,-4.8966,-8.942000000000004,,42.35607999999998
prosumerpower:1:fullmarket:3:mc,-0.12999999999999978,43.693999999998816,70.72299999999991,142.3318000000002
prosumerpower:1:fullmarket:6:mc,-0.1535000000000009,21.51399999999953,42.92060000000006,93.7042
