simId,facilityCost,dataCost,knowledgeCost,measuringCost,nNcProsumers,totalut,endures,startroles,endroles,facilityTransfers,facilityInvoices,equity
61,1,0.06,0.0,0.0,0,1.1299999999999706,1,23,13,87.00000000000163,71.5,-7.797914118729889
62,1,0.06,0.0,0.1,0,-47.65000000000003,1,23,3,53.000000000000504,48.5,1.4542511479191704
63,1,0.06,0.1,0.0,0,1277.4400000000037,1,23,23,710.8000000000038,397.0,0.7523671849984418
64,1,0.06,0.1,0.1,0,1076.5000000000027,1,23,23,710.8000000000038,397.0,0.7807568056963078
65,1,0.06,0.2,0.0,0,1272.8999999999871,1,23,23,909.7999999999892,397.0,0.5621433264467482
66,1,0.06,0.2,0.1,0,-84.30000000000013,1,23,3,119.80000000000078,58.6,1.8461306043002135
67,1,0.06,0.3,0.0,0,254.71999999999886,1,23,16,604.2000000000053,270.50000000000074,-0.5582668420327075
68,1,0.06,0.3,0.1,0,-93.99999999999994,1,23,3,112.00000000000036,52.0,1.7696384425119929
69,1,0.06,0.4,0.0,0,-63.52000000000032,1,23,13,155.28000000000068,72.4,1.1455509577891334
70,1,0.06,0.4,0.1,0,-96.36000000000006,1,23,3,109.00000000000045,49.0,1.7732356404728766
71,1,0.06,0.5,0.0,0,-64.06000000000023,1,23,13,150.00000000000074,69.0,1.1316950541420707
72,1,0.06,0.5,0.1,0,-96.82,1,23,3,112.00000000000057,48.0,1.9644412819460586
73,1,0.06,0.6,0.0,0,-65.6400000000002,1,23,13,153.54000000000076,69.3,1.1027719541955328
74,1,0.06,0.6,0.1,0,-96.31999999999996,1,23,3,111.15454545454615,46.7,1.9708161768844232
75,1,0.06,0.7,0.0,0,-62.5200000000002,1,23,13,140.80000000000084,64.0,1.1101613964706794
76,1,0.06,0.7,0.1,0,-96.19999999999989,1,23,3,112.36363636363699,46.0,2.0545465097937106
77,1,0.06,0.8,0.0,0,-66.5200000000003,1,23,13,153.20000000000056,68.0,1.1058238050700824
78,1,0.06,0.8,0.1,0,-96.36,1,23,3,109.00000000000053,45.0,1.9801416936996472
79,1,0.06,1.0,0.0,0,-61.84000000000022,1,23,13,139.00000000000074,62.2,1.1331260620738148
80,1,0.06,1.0,0.1,0,-95.78,1,23,3,108.00000000000055,44.0,1.9880905293500404
81,1,0.08,0.0,0.0,0,-7.272000000000022,1,23,13,81.01272727272877,66.1,13.328205888278564
82,1,0.08,0.0,0.1,0,-55.304000000000016,1,23,3,51.980000000000445,47.1,1.3501022632843802
83,1,0.08,0.1,0.0,0,1289.1000000000001,1,23,23,750.3999999999959,397.0,0.6170724816665751
84,1,0.08,0.1,0.1,0,1065.359999999997,1,23,23,750.3999999999959,397.0,0.6213165134449707
85,1,0.08,0.2,0.0,0,1264.0599999999822,1,23,23,949.3999999999828,397.0,0.6930571408442507
86,1,0.08,0.2,0.1,0,1080.5399999999863,1,23,23,949.3999999999832,397.0,0.5730282671975365
87,1,0.08,0.3,0.0,0,986.0000000000086,1,23,21,1007.2000000000015,361.60000000000105,-0.008754266151244083
88,1,0.08,0.3,0.1,0,-93.33999999999978,1,23,3,122.40000000000055,52.6,1.4657751470535272
89,1,0.08,0.4,0.0,0,-57.68000000000003,1,23,13,159.00000000000125,67.0,1.2014581583926458
90,1,0.08,0.4,0.1,0,-95.59999999999994,1,23,3,120.50000000000051,49.7,1.5247153373603877
91,1,0.08,0.5,0.0,0,-57.77999999999992,1,23,13,149.58000000000112,62.1,1.1441012148443077
92,1,0.08,0.5,0.1,0,-96.49999999999987,1,23,3,120.00000000000065,48.0,1.5875867996337805
93,1,0.08,0.6,0.0,0,-59.67999999999985,1,23,13,155.00000000000114,63.0,1.1517134195146996
94,1,0.08,0.6,0.1,0,-96.33999999999979,1,23,3,121.00000000000072,47.0,1.687068330382234
95,1,0.08,0.7,0.0,0,-59.3399999999999,1,23,13,154.2000000000013,61.9,1.1293433721780795
96,1,0.08,0.7,0.1,0,-96.0399999999998,1,23,3,120.00000000000071,46.0,1.6923007280974984
97,1,0.08,0.8,0.0,0,-59.13999999999994,1,23,13,153.00000000000094,61.0,1.1423944462843822
98,1,0.08,0.8,0.1,0,-96.09999999999982,1,23,3,117.00000000000058,45.0,1.6013329776817384
99,1,0.08,1.0,0.0,0,-60.39999999999991,1,23,13,155.98000000000104,61.1,1.1220487414946017
100,1,0.08,1.0,0.1,0,-95.57999999999984,1,23,3,116.00000000000063,44.0,1.6068002243449289
101,1,0.1,0.0,0.0,0,-11.796000000000026,1,23,13,77.2909090909103,62.2,6.021296942883447
102,1,0.1,0.0,0.1,0,-60.36399999999997,1,23,3,51.40000000000038,46.2,1.302166544151314
103,1,0.1,0.1,0.0,0,1076.665999999999,1,23,23,735.6000000000043,369.7000000000003,0.5810763127163155
104,1,0.1,0.1,0.1,0,879.3000000000021,1,23,23,735.6000000000043,369.7000000000003,0.5770208719697578
105,1,0.1,0.2,0.0,0,1275.9399999999882,1,23,23,988.9999999999865,397.0,0.8342662448580775
106,1,0.1,0.2,0.1,0,1088.9799999999907,1,23,23,988.9999999999865,397.0,0.7378350146190285
107,1,0.1,0.3,0.0,0,1287.6200000000144,1,23,23,1187.9999999999295,397.0,0.16322658596534823
108,1,0.1,0.3,0.1,0,-92.39999999999989,1,23,3,133.60000000000053,53.4,1.1857289702823754
109,1,0.1,0.4,0.0,0,-53.9800000000002,1,23,13,169.20000000000127,65.1,1.0968830952484279
110,1,0.1,0.4,0.1,0,-95.72000000000001,1,23,3,130.00000000000077,50.0,1.1987007665459513
111,1,0.1,0.5,0.0,0,341.2000000000002,1,23,17,829.999999999983,270.80000000000075,-0.27603005931722513
112,1,0.1,0.5,0.1,0,-96.49999999999994,1,23,3,128.00000000000074,48.0,1.2088439040050374
113,1,0.1,0.6,0.0,0,-53.740000000000066,1,23,13,154.00000000000105,57.0,1.1133321682475423
114,1,0.1,0.6,0.1,0,-96.65999999999991,1,23,3,129.00000000000082,47.0,1.3079581309664463
115,1,0.1,0.7,0.0,0,-54.7400000000001,1,23,13,156.00000000000117,57.0,1.103302057411814
116,1,0.1,0.7,0.1,0,-96.41999999999999,1,23,3,128.00000000000082,46.0,1.3120243135989267
117,1,0.1,0.8,0.0,0,-53.56000000000013,1,23,13,152.0000000000009,55.0,1.0994136540050432
118,1,0.1,0.8,0.1,0,-96.13999999999996,1,23,3,125.00000000000074,45.0,1.2210022706674768
119,1,0.1,1.0,0.0,0,-55.20000000000011,1,23,13,157.00000000000102,56.0,1.0910376747510666
120,1,0.1,1.0,0.1,0,-95.73999999999994,1,23,3,124.00000000000077,44.0,1.2245480645028193
121,1,0.12,0.0,0.0,0,-14.228000000000021,1,23,13,74.19636363636485,58.6,4.747440149135626
122,1,0.12,0.0,0.1,0,-210.94800000000015,1,23,13,51.120000000000374,45.6,1.2025341224361934
123,1,0.12,0.1,0.0,0,891.3240000000014,1,23,23,712.2800000000158,343.00000000000017,0.5705540056738636
124,1,0.12,0.1,0.1,0,679.2339999999982,1,23,23,712.2800000000146,343.00000000000017,0.5654734843892857
125,1,0.12,0.2,0.0,0,1272.619999999998,1,23,23,1028.5999999999901,397.0,0.9678809514454138
126,1,0.12,0.2,0.1,0,1079.9599999999987,1,23,23,1028.5999999999901,397.0,0.8914047766655233
127,1,0.12,0.3,0.0,0,1271.3400000000136,1,23,23,1227.5999999999385,397.0,0.28328867885633324
128,1,0.12,0.3,0.1,0,-234.80000000000038,1,23,13,137.04000000000062,50.7,1.2886112878160554
129,1,0.12,0.4,0.0,0,805.6000000000049,1,23,20,1105.1999999999796,332.59999999999894,-0.12429429341871456
130,1,0.12,0.4,0.1,0,-237.8000000000006,1,23,13,128.20000000000076,45.0,1.2912895932532384
131,1,0.12,0.5,0.0,0,235.0700000000004,1,23,16,803.200000000014,259.7000000000008,0.2437156209928344
132,1,0.12,0.5,0.1,0,-238.54000000000056,1,23,13,125.7200000000008,43.3,1.289213030274615
133,1,0.12,0.6,0.0,0,786.5400000000132,1,23,20,1304.4000000000044,322.59999999999894,-1.235763944733411
134,1,0.12,0.6,0.1,0,-240.4400000000005,1,23,13,130.36000000000092,43.9,1.2904324300909198
135,1,0.12,0.7,0.0,0,936.6200000000078,1,23,21,1541.6000000000902,336.70000000000107,-1.8576455626020478
136,1,0.12,0.7,0.1,0,-240.2600000000006,1,23,13,130.26000000000076,42.9,1.290935410646239
137,1,0.12,0.8,0.0,0,916.5799999999822,1,23,21,1651.5000000000102,333.5000000000011,-2.4666646440338353
138,1,0.12,0.8,0.1,0,-238.66000000000057,1,23,13,123.2000000000006,40.5,1.2894927427152252
139,1,0.12,1.0,0.0,0,-47.13999999999994,1,23,13,150.92000000000078,48.1,1.1774730713877415
140,1,0.12,1.0,0.1,0,-238.12000000000052,1,23,13,122.80000000000072,39.5,1.290191113670872
141,1,0.14,0.0,0.0,0,-14.906000000000015,1,23,13,50.84000000000036,45.1,4.155574033583177
142,1,0.14,0.0,0.1,0,-213.54400000000018,1,23,13,50.84000000000036,45.1,1.2013228253943935
143,1,0.14,0.1,0.0,0,746.1520000000003,1,23,23,695.2000000000285,324.0999999999997,0.5696987732075376
144,1,0.14,0.1,0.1,0,544.4179999999988,1,23,23,695.2000000000285,324.0999999999997,0.5575608273343515
145,1,0.14,0.2,0.0,0,1272.4199999999958,1,23,23,1068.1999999999937,397.0,0.8944278389869345
146,1,0.14,0.2,0.1,0,1077.6199999999976,1,23,23,1068.199999999993,397.0,0.9468863370872975
147,1,0.14,0.3,0.0,0,1276.440000000011,1,23,23,1267.199999999938,397.0,0.4229444119099417
148,1,0.14,0.3,0.1,0,-230.56000000000049,1,23,13,147.20000000000044,50.7,1.2806632687055137
