engine,agents,sessions,motions,actions,narrative,holdsAt,memory
cec,7,1,12,134,57682529469,445828,120996664
cec,7,1,12,134,62964828111,451927,506931200
cec,7,1,12,134,62263827770,471149,283794232
cec,7,1,12,134,64592197500,514666,58106248
cec,7,1,12,134,61732997887,595772,348230032
cec,7,1,12,134,62633407702,624076,179828864
cec,7,1,12,134,197816213616,3330145,211576152
cec,7,1,12,134,62626106026,509705,345631464
cec,7,1,1,13,747527057,307529,41365632
cec,7,1,12,134,60931747946,519554,205942816
cec,7,1,12,134,63096884450,474501,472902104
cec,7,1,12,134,61470803181,460981,526459704
cec,7,1,12,134,68552138674,908364,158714312
cec,7,1,12,134,63015998888,493491,295451464
cec,7,1,12,134,60163853580,468356,147851200
cec,7,1,12,134,61046908656,481777,365498240
cec,7,1,12,134,61517984769,427134,198206616
cec,7,1,12,134,57198505780,436150,348956280
cec,7,1,12,134,61101954600,435946,535733488
cec,7,1,12,134,61769911038,458014,347787824
cec,7,1,1,13,794943657,470401,590189032
cec,7,1,12,134,59215931051,421261,105784776
cec,7,1,12,134,64824644487,518467,294278648
cec,7,1,1,13,720939473,225898,292490912
cec,7,1,12,134,63521596179,505944,196717616
cec,7,1,1,13,686634340,262900,400853160
cec,7,1,12,134,62732416193,466728,350332472
cec,7,1,1,13,731428026,260958,703348840
cec,7,1,12,134,64126428148,425853,601350032
cec,7,1,1,13,666564229,193751,401080512
cec,7,1,12,134,61589245087,530546,406475632
cec,7,1,1,13,722381020,220681,316452040
cec,7,1,12,134,62402135824,579552,269960696
cec,7,1,1,13,677503869,197694,123885024
cec,7,1,1,13,695640331,219218,452924224
cec,7,1,13,145,80005169632,440146,221931552
cec,7,1,13,145,82624165909,540808,430665424
cec,7,1,13,145,76023792034,545694,363611800
cec,7,1,13,145,81788706110,579041,34706840
cec,7,1,13,145,77698305863,570669,62715888
cec,7,1,13,145,76229367485,469309,52500192
cec,7,1,13,145,89745860672,1147598,503978920
cec,7,1,13,145,76933192586,496286,88881984
cec,7,1,13,145,73947409210,446264,143743520
cec,7,1,13,145,77801944948,466216,286884936
cec,7,1,1,13,716945370,251562,448678456
cec,7,1,13,145,101064004027,419678,191314376
cec,7,1,13,145,77415547276,505993,538706624
cec,7,1,13,145,79895933402,516272,199527680
cec,7,1,13,145,71423987451,461083,412903424
cec,7,1,13,145,75816374664,486315,414272168
cec,7,1,13,145,71866832981,439512,155231496
cec,7,1,13,145,79170524046,520066,575909104
cec,7,1,13,145,80465678064,489968,199111440
cec,7,1,13,145,75022973285,433880,406170288
cec,7,1,13,145,79803155436,541428,145071416
cec,7,1,13,145,77733296175,558792,139815944
cec,7,1,1,13,722178348,226806,510131808
cec,7,1,13,145,86701444178,428283,472356616
cec,7,1,13,145,86054515467,502349,632735984
cec,7,1,13,145,80962891098,575578,112773360
cec,7,1,13,145,76092899908,454524,57401744
cec,7,1,13,145,75714983063,476593,532220992
cec,7,1,13,145,74640473750,476723,285147208
cec,7,1,13,145,75047196138,488104,268459536
cec,7,1,13,145,85851015431,873803,582499824
cec,7,1,13,145,85020371360,1030534,512216560
cec,7,1,13,145,77715229418,535920,315308336
cec,7,1,13,145,74872287941,527109,75171960
cec,7,1,1,13,684426592,200072,673403312
cec,7,1,13,145,90067318868,408309,129083736
cec,7,1,13,145,78082577562,541290,246435224
cec,7,1,13,145,72644313739,448840,255248856
cec,7,1,13,145,76646687330,472649,91952568
cec,7,1,13,145,73923885168,523514,63989160
cec,7,1,13,145,75571578149,447071,172766272
cec,7,1,13,145,73882719674,460118,363103816
cec,7,1,13,145,83523366254,536881,336433200
cec,7,1,13,145,77874588858,455850,219686736
cec,7,1,13,145,77586464169,499817,434884600
cec,7,1,13,145,78640449649,475805,562756096
cec,7,1,1,13,705771394,221579,617367984
cec,7,1,13,145,82670914825,466417,142010544
cec,7,1,13,145,78034113959,454403,366520944
cec,7,1,1,13,703949689,216119,155096376
cec,7,1,13,145,97238839373,431127,62634080
cec,7,1,1,13,716938926,201063,75918000
cec,7,1,13,145,80484492912,459666,223648088
cec,7,1,1,13,693562734,193621,459528992
cec,7,1,13,145,72918223519,439652,72141744
cec,7,1,1,13,664497182,183651,570075408
cec,7,1,13,145,75447246458,428239,227042160
cec,7,1,1,13,682641096,189268,674384184
cec,7,1,13,145,75033670262,420971,102643064
cec,7,1,1,13,740175231,237511,576619904
cec,7,1,1,13,665406806,198541,123910032
cec,7,1,14,156,87382472151,436688,67804888
cec,7,1,14,156,93933906187,640217,380333600
cec,7,1,14,156,94413462234,538049,230928808
cec,7,1,14,156,97243816663,550322,363835792
cec,7,1,14,156,90777530213,509020,171484712
cec,7,1,14,156,90199213727,518906,78422712
cec,7,1,14,156,98399986108,529590,318022416
cec,7,1,14,156,105705441164,551234,92063944
cec,7,1,14,156,100330720295,638373,298929624
cec,7,1,14,156,99028403512,574876,366320968
cec,7,1,1,13,680015611,213170,316248752
cec,7,1,14,156,112106950693,442900,221671656
cec,7,1,14,156,91826981051,478592,682468720
cec,7,1,14,156,103074927217,1030212,114458328
cec,7,1,14,156,98566649551,611068,206863832
cec,7,1,14,156,93502354140,531542,152071704
cec,7,1,14,156,95280739816,547880,205962336
cec,7,1,14,156,96219160890,544914,186128104
cec,7,1,14,156,102133599843,608842,103521208
cec,7,1,14,156,96619245455,513451,543753360
cec,7,1,14,156,97148224206,501830,281899728
cec,7,1,14,156,96710028841,547571,194458400
cec,7,1,1,13,663064661,195159,13676672
cec,7,1,14,156,108301673030,662318,210665856
cec,7,1,14,156,104905565370,513481,382320568
cec,7,1,14,156,92928935345,534106,103148856
cec,7,1,14,156,96703315388,503128,288261344
cec,7,1,14,156,95062340793,525448,407587936
cec,7,1,14,156,93290533951,508227,388353744
cec,7,1,14,156,94215712812,509960,219272552
cec,7,1,14,156,98839196081,1037652,352777296
cec,7,1,14,156,101593486457,556147,319327432
cec,7,1,14,156,97297985590,505361,382788024
cec,7,1,14,156,95349148078,551301,115643568
cec,7,1,1,13,665801620,203863,235021880
cec,7,1,14,156,87895849739,435382,262572392
cec,7,1,14,156,87146108339,465800,318085336
cec,7,1,14,156,90892682350,467053,550559576
cec,7,1,14,156,93823312575,521808,57725592
cec,7,1,14,156,93606810594,521901,423602832
cec,7,1,14,156,93044960052,531389,186789384
cec,7,1,14,156,97240430342,512910,220071120
cec,7,1,14,156,95500907838,508359,457928296
cec,7,1,14,156,98704895375,550175,98153176
cec,7,1,14,156,94340489557,496815,151393144
cec,7,1,14,156,93994268769,491955,587842888
cec,7,1,1,13,669013156,188591,18376168
cec,7,1,14,156,98113031944,433581,122002664
cec,7,1,14,156,94625023663,2307925,391798672
cec,7,1,1,13,773239852,197322,305600888
cec,7,1,14,156,103510689914,506047,239414032
cec,7,1,1,13,650684262,187357,459581992
cec,7,1,14,156,87687368334,464595,125855976
cec,7,1,1,13,634234306,203348,576524464
cec,7,1,14,156,87726048342,443404,198906792
cec,7,1,1,13,729487619,247824,53377488
cec,7,1,14,156,92860105647,427786,333208544
cec,7,1,1,13,716844415,233862,484072584
cec,7,1,14,156,85620814490,434642,109155008
cec,7,1,1,13,652748107,201027,378715280
cec,7,1,1,13,727756812,220146,123860624
cec,7,1,15,167,115452220237,516469,161467960
cec,7,1,15,167,112621580814,488739,401711832
cec,7,1,15,167,112364879803,516538,156871592
cec,7,1,15,167,130603406831,641044,139797664
cec,7,1,15,167,127053817980,675993,275386104
cec,7,1,15,167,115290301622,671859,650706880
cec,7,1,15,167,123002264735,578019,479722816
cec,7,1,15,167,118032809815,531132,206538224
cec,7,1,15,167,117346062255,476825,68184688
cec,7,1,15,167,122457184754,603413,572907944
cec,7,1,15,167,116776977571,525425,265986560
cec,7,1,15,167,114133222970,691039,165197992
cec,7,1,15,167,124724749111,584661,446209728
cec,7,1,15,167,119718023499,543452,517944056
cec,7,1,15,167,114091486267,527251,159564488
cec,7,1,15,167,113125773257,580686,320303720
cec,7,1,15,167,116662745891,542630,216307744
cec,7,1,15,167,115872787168,609474,335658768
cec,7,1,15,167,121743424791,550809,436323296
cec,7,1,15,167,117158430238,503235,55133616
cec,7,1,15,167,126473522959,917107,469554608
cec,7,1,15,167,110810442478,497056,181586224
cec,7,1,15,167,120262573621,505057,94710096
cec,7,1,15,167,115098054846,701591,241989672
cec,7,1,15,167,115133365404,570098,127492144
cec,7,1,15,167,115929447743,548938,424372984
cec,7,1,15,167,114696189428,492890,95905192
cec,7,1,15,167,113463677592,494265,569672536
cec,7,1,15,167,123514979873,553938,327797656
cec,7,1,15,167,117305037338,495851,500069008
cec,7,1,15,167,113276654461,552624,223009408
cec,7,1,15,167,118247810411,579094,143237288
cec,7,1,15,167,119934551084,565135,131547776
cec,7,1,15,167,117359410759,630609,265141040
cec,7,1,15,167,115448329868,584787,59399032
cec,7,1,15,167,126825137654,1067017,594290832
cec,7,1,15,167,119007157784,570853,252642448
cec,7,1,15,167,119146404001,601033,167645200
cec,7,1,15,167,131795289871,975911,246933232
cec,7,1,15,167,118703137976,586271,426184656
cec,7,1,15,167,117682178964,596063,372501720
cec,7,1,15,167,109281004226,493145,156324880
