engine,agents,sessions,motions,actions,narrative,holdsAt,memory
drools,7,1,72,794,192494138,96970,17979232
drools,7,1,57,629,197927749,112875,17773752
drools,7,1,69,761,173254891,124627,17927672
drools,7,1,67,739,209404159,144594,17904128
drools,7,1,39,431,130478100,110708,17560584
drools,7,1,63,695,242706718,107315,17845632
drools,7,1,60,662,185163046,114390,17810352
drools,7,1,5,57,75826227,123835,17212824
drools,7,1,99,1091,337192912,118457,18303288
drools,7,1,49,541,179121116,99248,17680728
drools,7,1,80,882,248287138,101556,18074880
drools,7,1,32,354,107051193,98338,17464664
drools,7,1,14,156,59943191,121913,17280288
drools,7,1,43,475,118446628,100903,17608624
drools,7,1,19,211,82704538,198666,17338624
drools,7,1,59,651,164777600,102958,17798584
drools,7,1,68,750,238912684,138532,17917176
drools,7,1,91,1003,276919150,113960,18204720
drools,7,1,33,365,163331530,110992,17482720
drools,7,1,47,519,136039966,91261,17655928
drools,7,1,18,200,63674138,154584,17331480
drools,7,1,36,398,135775549,100688,17526672
drools,7,1,61,673,183589251,101620,17822848
drools,7,1,30,332,95197895,114907,17441720
drools,7,1,76,838,256150004,109362,18028632
drools,7,1,2,24,67555454,141768,17214144
drools,7,1,78,860,307757244,116097,18052032
drools,7,1,55,607,164663201,111515,17752088
drools,7,1,12,134,55007428,147957,17256968
drools,7,1,21,233,90644160,99688,17334904
drools,7,1,58,640,164899352,116870,17787520
drools,7,1,89,981,243885912,94408,18181712
drools,7,1,29,321,122580691,96874,17430408
drools,7,1,74,816,200123320,106741,18006224
drools,7,1,75,827,285782683,120782,18018120
drools,7,1,6,68,44122961,132494,17222800
drools,7,1,82,904,234404706,105290,18100456
drools,7,1,95,1047,290937882,104773,18253600
drools,7,1,38,420,160951891,99133,17551920
drools,7,1,44,486,122674555,90405,17622664
drools,7,1,81,893,229609570,98933,18088992
drools,7,1,73,805,199800718,140930,17994760
drools,7,1,93,1025,304818748,104550,18230440
drools,7,1,84,926,254965782,91283,18124408
drools,7,1,50,552,131857325,98648,17695008
drools,7,1,3,35,43372379,131632,17215256
drools,7,1,54,596,145412384,119465,17742080
drools,7,1,92,1014,294827102,105275,18218624
drools,7,1,96,1058,266005704,92765,18265728
drools,7,1,22,244,77621377,95903,17348416
drools,7,1,65,717,199424975,100090,17875800
drools,7,1,24,266,81569964,95747,17371904
drools,7,1,26,288,126550622,99831,17396384
drools,7,1,79,871,206797978,95461,18065936
drools,7,1,4,46,44231280,131075,17209808
drools,7,1,1,13,33100306,121380,17228088
drools,7,1,41,453,171311188,106107,17588072
drools,7,1,9,101,48336720,140697,17255544
drools,7,1,37,409,162806422,110172,17541048
drools,7,1,41,453,142606250,99936,17588176
drools,7,1,5,57,68723803,120083,17219112
drools,7,1,47,519,228345005,118890,17658840
drools,7,1,49,541,163652781,105553,17683912
drools,7,1,66,728,175962790,98480,17896400
drools,7,1,21,233,99650145,89068,17337304
drools,7,1,52,574,229344306,89120,17719248
drools,7,1,8,90,44050528,117952,17241736
drools,7,1,31,343,98335990,96248,17455832
drools,7,1,34,376,120789152,89968,17497448
drools,7,1,6,68,55577144,146469,17223920
drools,7,1,7,79,78622308,119372,17230360
drools,7,1,88,970,293908229,127853,18173496
drools,7,1,29,321,148804864,92083,17433680
drools,7,1,78,860,232740602,100506,18055728
drools,7,1,24,266,87279980,100667,17373888
drools,7,1,99,1091,305573197,139007,18307944
drools,7,1,14,156,69963561,171931,17284856
drools,7,1,22,244,116182884,99400,17350696
drools,7,1,13,145,63458395,155794,17273504
drools,7,1,76,838,264138756,91033,18033392
drools,7,1,65,717,318158875,122962,17878816
drools,7,1,80,882,237443958,104530,18080496
drools,7,1,54,596,161988832,98231,17745184
drools,7,1,53,585,143822447,96040,17733336
drools,7,1,58,640,160161147,116265,17792368
drools,7,1,89,981,380634436,113263,18186328
drools,7,1,28,310,123129584,104138,17423016
drools,7,1,93,1025,313727115,101280,18233504
drools,7,1,4,46,53196692,119614,17212368
drools,7,1,98,1080,256105815,137827,18297072
drools,7,1,63,695,162001248,103628,17851104
drools,7,1,23,255,116217071,99365,17363376
drools,7,1,3,35,61284734,125999,17218208
drools,7,1,25,277,130417193,105705,17387688
drools,7,1,51,563,129519298,94076,17709736
drools,7,1,79,871,235403647,124747,18068720
drools,7,1,95,1047,262538341,107843,18257040
drools,7,1,81,893,291343198,118102,18092080
drools,7,1,68,750,253452190,99396,17922416
drools,7,1,59,651,180465360,101858,17803992
drools,7,1,91,1003,284045742,107515,18209928
drools,7,1,55,607,159869883,124462,17756880
drools,7,1,100,1102,300443358,112520,18320528
drools,7,1,77,849,243003600,96573,18045064
drools,7,1,86,948,299171958,96477,18151152
drools,7,1,73,805,205108800,91973,17997840
drools,7,1,33,365,121108913,107880,17487896
drools,7,1,85,937,301780104,102210,18139280
drools,7,1,36,398,113897482,108295,17531424
drools,7,1,32,354,89494458,98728,17470128
drools,7,1,27,299,107614220,102298,17411152
drools,7,1,67,739,175602786,110725,17910640
drools,7,1,50,552,165309593,110398,17698056
drools,7,1,44,486,131999121,98235,17625872
drools,7,1,83,915,212210652,91906,18115816
drools,7,1,42,464,166894482,105027,17602272
drools,7,1,72,794,219223507,108028,17986296
drools,7,1,96,1058,247940640,91608,18268904
drools,7,1,74,816,186862130,93865,18009648
drools,7,1,15,167,93712948,135887,17297632
drools,7,1,30,332,89224652,110257,17446712
drools,7,1,16,178,60764470,146454,17311536
drools,7,1,19,211,78980413,141570,17344264
drools,7,1,56,618,177125147,98001,17768824
drools,7,1,18,200,74588682,135052,17336392
drools,7,1,75,827,199180961,106203,18021728
drools,7,1,97,1069,268183149,115671,18285424
